task,precision,recall,pr_auc,auc
task1_discharge,0.6660604439689757,0.6366053169734152,0.6911884696283381,0.8936257513207025
task2_no_return72_masked,0.9498261047463176,0.9997846567967699,0.9688483807777719,0.6444345396287515
joint_both_positive,0.6368012837657128,0.6409152086137281,0.6675593283707412,0.8914296381029317
