k,cv_auc_mean,cv_auc_std
150,0.8941015650843216,0.0010229200542740753
80,0.893783437131604,0.0012310922791166521
100,0.8937297461910785,0.001203311693398908
427,0.8936792633741387,0.0013851318890126688
60,0.8934560713468155,0.0012168655160875157
50,0.8929746036978571,0.0012073648966913612
40,0.8909749208777553,0.0009729839829882906
30,0.8890339939161909,0.0011160920921991478
20,0.8859460110732895,0.0009361860963955105
10,0.881146460792035,0.002053642173983712
