task,auc,pr_auc,recall,precision,threshold,n_eval,tn,fp,fn,tp
task1_discharge,0.8927943405392229,0.690975686557367,0.6205010224948875,0.6749527305082861,0.5,83538,58133,5845,7423,12137
task2_no_return72_masked,0.6438243641158427,0.9697126859435666,1.0,0.9496421267893661,0.5,19560,0,985,0,18575
joint_both_positive,0.890302014964145,0.6672804309061333,0.6248721399730821,0.6454788121454789,0.5,83538,58588,6375,6968,11607
