task,precision,recall,pr_auc,auc
task1_discharge,0.5370370370370371,0.8656716417910447,0.7562901513904685,0.9384737753240069
task2_no_return72_masked,1.0,1.0,,
joint_both_positive,0.5370370370370371,0.8656716417910447,0.7562901513904685,0.9384737753240069
