task,auc,pr_auc,recall,precision,threshold,n_eval,tn,fp,fn,tp
task1_discharge,0.9384737753240069,0.7562901513904685,0.8656716417910447,0.5370370370370371,0.5,386,269,50,9,58
task2_no_return72_masked,,,1.0,1.0,0.5,67,0,0,0,67
joint_both_positive,0.9384737753240069,0.7562901513904685,0.8656716417910447,0.5370370370370371,0.5,386,269,50,9,58
