task,precision,recall,pr_auc,auc
task1_discharge,0.6573226144704649,0.48072597137014317,0.6198491208924517,0.8651714121309978
task2_no_return72_masked,0.9495474182267023,0.9939703903095558,0.9566596216630721,0.5379397284981314
joint_both_positive,0.6289936664320901,0.48118438761776583,0.5949408157837333,0.8628723425524197
