task,auc,pr_auc,recall,precision,threshold,n_eval,tn,fp,fn,tp
task1_discharge,0.8651714121309978,0.6198491208924517,0.48072597137014317,0.6573226144704649,0.5,83538,59076,4902,10157,9403
task2_no_return72_masked,0.5379397284981314,0.9566596216630721,0.9939703903095558,0.9495474182267023,0.5,19560,4,981,112,18463
joint_both_positive,0.8628723425524197,0.5949408157837333,0.48118438761776583,0.6289936664320901,0.5,83538,59691,5272,9637,8938
