task,auc_logistic,auc_xgboost,auc_xmi,pr_auc_logistic,pr_auc_xgboost,pr_auc_xmi,recall_logistic,recall_xgboost,recall_xmi,precision_logistic,precision_xgboost,precision_xmi,auc_xmi_minus_xgboost,auc_xmi_minus_logistic,pr_auc_xmi_minus_xgboost,pr_auc_xmi_minus_logistic,recall_xmi_minus_xgboost,recall_xmi_minus_logistic,precision_xmi_minus_xgboost,precision_xmi_minus_logistic
joint_both_positive,0.8628723425524197,0.882093385842638,0.8497193650843409,0.5949408157837333,0.6303367564223706,0.5653099548676582,0.4811843876177658,0.7630686406460296,0.7672006516426826,0.6289936664320901,0.5364469003103475,0.4609612059121015,-0.032374020758297095,-0.013152977468078864,-0.06502680155471241,-0.02963086091607503,0.004132010996652946,0.2860162640249168,-0.07548569439824598,-0.1680324605199886
task1_discharge,0.8651714113318989,0.8938049084772943,0.8645482565453692,0.6198491199381232,0.6925366333237087,0.6148780304668152,0.4807259713701431,0.8599182004089979,0.8701646090534979,0.6573226144704649,0.5413408001029899,0.4691200532460689,-0.02925665193192517,-0.0006231547865297449,-0.07765860285689352,-0.004971089471307977,0.010246408644499994,0.3894386376833548,-0.07222074685692098,-0.188202561224396
task2_no_return72_masked,0.5379397284981314,0.6356235593116123,0.6364960166354311,0.9566596216630722,0.967357180676926,0.9675401179987706,0.9939703903095558,0.8423687752355317,0.860657073038284,0.9495474182267024,0.9578818487909396,0.9547590361445784,0.0008724573238187983,0.09855628813729966,0.00018293732184460065,0.01088049633569843,0.018288297802752318,-0.13331331727127183,-0.0031228126463612726,0.005211617917875944
