task,auc,pr_auc,recall,precision,threshold,n_eval,tn,fp,fn,tp
task1_discharge,0.8645482565453692,0.6148780304668152,0.8701646090534979,0.4691200532460689,0.5,84657,46074,19143,2524,16916
task2_no_return72_masked,0.6364960166354311,0.9675401179987706,0.860657073038284,0.9547590361445784,0.5,19440,274,751,2566,15849
joint_both_positive,0.8497193650843409,0.5653099548676582,0.7672006516426826,0.46096120591210155,0.5,84657,49721,16521,4287,14128
