task,auc,pr_auc,recall,precision,threshold,n_eval,tn,fp,fn,tp
task1_discharge,0.8497027795885358,0.6012708051074453,0.4780163599182004,0.6127129750982963,0.5,83538,58068,5910,10210,9350
task2_no_return72_masked,0.6524625506418621,0.9701866838237979,0.9993001345895021,0.9499002098152602,0.5,19560,6,979,13,18562
joint_both_positive,0.8498049700472422,0.5848824584724731,0.4868909825033647,0.5926605504587156,0.5,83538,58747,6216,9531,9044
