task,auc,pr_auc,recall,precision,threshold,n_eval,tn,fp,fn,tp
task1_discharge,0.8938049084772943,0.6925366333237087,0.8599182004089979,0.5413408001029899,0.5,83538,49727,14251,2740,16820
task2_no_return72_masked,0.6356235593116123,0.9673571806769261,0.8423687752355317,0.9578818487909397,0.5,19560,297,688,2928,15647
joint_both_positive,0.882093385842638,0.6303367564223706,0.7630686406460296,0.5364469003103475,0.5,83538,52715,12248,4401,14174
