task,precision,recall,pr_auc,auc
task1_discharge,0.5434698108318217,0.8577709611451942,0.6935801606166523,0.8941941543076446
task2_no_return72_masked,0.9588638589618022,0.8432839838492597,0.9675241715974934,0.6349941723428821
joint_both_positive,0.5393477016975015,0.7611843876177659,0.6279088019534583,0.881916267110449
